Tiempo de calculo(s)   Tamaño matriz 
0.010221099997579586     2 
3.7099998735357076e-05     3 
3.199999991920777e-05     5 
3.0800001695752144e-05     7 
3.5799999750452116e-05     10 
4.73000000056345e-05     12 
5.410000085248612e-05     15 
6.679999933112413e-05     20 
9.439999848837033e-05     30 
9.800000043469481e-05     40 
0.00027600000248639844     50 
0.00042519999988144264     70 
0.00050560000090627     100 
0.0009156999985862058     150 
0.0012365000002318993     200 
0.0015088999971339945     300 
0.00272910000057891     500 
0.009726500000397209     750 
0.006668300000455929     1000 
0.016439600000012433     1800 
0.024545000000216532     2500 
0.01748059999954421     4000 
0.015475600001082057     2 
5.529999907594174e-05     3 
6.430000212276354e-05     5 
7.989999721758068e-05     7 
4.909999915980734e-05     10 
8.990000060293823e-05     12 
8.649999654153362e-05     15 
0.0001157000006060116     20 
0.00021429999833344482     30 
0.0002750999992713332     40 
0.00028279999969527125     50 
0.000620599999820115     70 
0.0005913999993936159     100 
0.0008855999985826202     150 
0.0007387000005110167     200 
0.0018589999999676365     300 
0.002971999998408137     500 
0.005344000001059612     750 
0.008070200001384364     1000 
0.017941800000699004     1800 
0.012673099998210091     2500 
0.025737100000696955     4000 
0.01099640000029467     2 
2.8500002372311428e-05     3 
3.0000002880115062e-05     5 
3.3399999665562063e-05     7 
4.0499999158782884e-05     10 
4.410000110510737e-05     12 
4.9600002967054024e-05     15 
7.26000034774188e-05     20 
0.00010300000212737359     30 
0.0002303000001120381     40 
0.0002435000023979228     50 
0.00027009999757865444     70 
0.00037960000190651044     100 
0.00041929999861167744     150 
0.0004935999968438409     200 
0.0006060999985493254     300 
0.0012865000026067719     500 
0.002827100001013605     750 
0.004331800002546515     1000 
0.00830839999980526     1800 
0.015662300000258256     2500 
0.1526902000005066     4000 
0.01864429999841377     2 
9.850000060396269e-05     3 
0.00015350000103353523     5 
0.0001843999998527579     7 
0.00014849999934085645     10 
0.00015619999976479448     12 
0.00028160000147181563     15 
0.00022510000053443946     20 
0.0002693999995244667     30 
0.0003462999993644189     40 
0.0004205999975965824     50 
0.0005600000004051253     70 
0.0015571000003546942     100 
0.0011178999993717298     150 
0.0015182999995886348     200 
0.0021237000000837725     300 
0.0055974000024434645     500 
0.010491600001842016     750 
0.012965300000360003     1000 
0.041389099998923484     1800 
0.09801200000219978     2500 
0.036482199997408316     4000 
0.01354659999924479     2 
2.970000059576705e-05     3 
4.11000000895001e-05     5 
4.359999729786068e-05     7 
6.320000102277845e-05     10 
4.769999941345304e-05     12 
5.32000012753997e-05     15 
9.610000051907264e-05     20 
9.530000170343556e-05     30 
0.00011079999967478216     40 
0.0002877000006265007     50 
0.0002725000013015233     70 
0.00032730000020819716     100 
0.0004206000012345612     150 
0.0005318000003171619     200 
0.0007175999999162741     300 
0.0013589999980467837     500 
0.0022023999990778975     750 
0.004065900000568945     1000 
0.008434999999735737     1800 
0.013292899999214569     2500 
0.026116799999726936     4000 
0.00650810000297497     2 
2.6500001695239916e-05     3 
2.3399999918183312e-05     5 
2.809999932651408e-05     7 
3.319999814266339e-05     10 
3.720000313478522e-05     12 
4.2199997551506385e-05     15 
6.000000212225132e-05     20 
7.879999975557439e-05     30 
9.230000068782829e-05     40 
0.0001109000004362315     50 
0.00023499999952036887     70 
0.00020190000213915482     100 
0.0003752999982680194     150 
0.000550900000234833     200 
0.0013781999987259042     300 
0.0014824999998381827     500 
0.002283899997564731     750 
0.0031638000000384636     1000 
0.014672699999209726     1800 
0.013142200001311721     2500 
0.022864799997478258     4000 
