Tiempo de calculo(s)   Tamaño matriz 
3.8300000596791506e-05     2 
3.6699999327538535e-05     3 
2.5099998310906813e-05     5 
4.579999949783087e-05     7 
4.2199997551506385e-05     10 
5.669999882229604e-05     12 
4.8099998821271583e-05     15 
5.570000212173909e-05     20 
7.60000002628658e-05     30 
9.250000221072696e-05     40 
0.00040160000207833946     50 
0.000487299999804236     70 
0.0005889000021852553     100 
0.0009613000001991168     150 
0.0010951000003842637     200 
0.002023900000494905     300 
0.003386500000488013     500 
0.006257400000322377     750 
0.009373700002470287     1000 
0.01627589999770862     1800 
0.026614600003085798     2500 
0.12235720000171568     4000 
0.10117970000283094     2 
0.00015520000306423753     3 
0.00023440000222763047     5 
0.0002982000005431473     7 
0.00022290000197244808     10 
0.00043849999929079786     12 
0.0003096999971603509     15 
0.00039649999962421134     20 
0.0007605999999213964     30 
0.0006509999984700698     40 
0.001253599999472499     50 
0.0015146000005188398     70 
0.0026825999993889127     100 
0.002676899999642046     150 
0.005204199998843251     200 
0.0077056000009179115     300 
0.018458700000337558     500 
0.022209899998415494     750 
0.03316650000124355     1000 
0.045997999997780425     1800 
0.014545099998940714     2500 
0.031756999997014645     4000 
0.026862500002607703     2 
4.190000254311599e-05     3 
3.5000000934815034e-05     5 
3.8399997720262036e-05     7 
4.319999789004214e-05     10 
5.160000000614673e-05     12 
9.249999857274815e-05     15 
6.589999975403771e-05     20 
9.069999941857532e-05     30 
0.00010300000212737359     40 
0.0004489999992074445     50 
0.0003825000021606684     70 
0.0005305000013322569     100 
0.0009279000005335547     150 
0.001280700002098456     200 
0.0024254999989352655     300 
0.004360900002211565     500 
0.007996899999852758     750 
0.01099659999817959     1000 
0.01959540000098059     1800 
0.05419229999824893     2500 
0.03643279999960214     4000 
0.03864840000096592     2 
6.120000034570694e-05     3 
5.500000042957254e-05     5 
9.100000170292333e-05     7 
6.430000212276354e-05     10 
7.929999992484227e-05     12 
0.00010140000085812062     15 
0.0005228999980317894     20 
0.000382099999114871     30 
0.00020280000171624124     40 
0.00047669999912614003     50 
0.0005619000003207475     70 
0.00073819999670377     100 
0.001014900000882335     150 
0.001321200001257239     200 
0.0023951000002853107     300 
0.0038413000002037734     500 
0.008275100000901148     750 
0.012488899999880232     1000 
0.02118960000007064     1800 
0.054165800000191666     2500 
0.039492099997005425     4000 
0.03134649999992689     2 
4.360000093583949e-05     3 
3.229999856557697e-05     5 
3.599999763537198e-05     7 
4.069999704370275e-05     10 
6.410000059986487e-05     12 
0.0001937000015459489     15 
0.00020279999807826243     20 
0.00018360000103712082     30 
0.00012419999984558672     40 
0.0005619000003207475     50 
0.0006242999988899101     70 
0.0010461999991093762     100 
0.001570799999171868     150 
0.0018318000002182089     200 
0.003475000001344597     300 
0.006298700001934776     500 
0.0078897000021243     750 
0.011056599996663863     1000 
0.02001889999883133     1800 
0.01768380000066827     2500 
0.029328100001293933     4000 
0.0337878999998793     2 
4.2599996959324926e-05     3 
3.460000152699649e-05     5 
3.749999814317562e-05     7 
4.410000110510737e-05     10 
4.9199999921256676e-05     12 
5.7699999160831794e-05     15 
8.349999916390516e-05     20 
0.00017020000086631626     30 
0.0003113000020675827     40 
0.00033199999961652793     50 
0.000527600001078099     70 
0.0005721000015910249     100 
0.0008649999981571455     150 
0.0012760999998135958     200 
0.00232759999926202     300 
0.004514399999607122     500 
0.00782690000050934     750 
0.013041500002145767     1000 
0.023245399999723304     1800 
0.01548950000142213     2500 
0.024343799999769544     4000 
0.030921500001568347     2 
4.540000009001233e-05     3 
3.769999966607429e-05     5 
4.070000068168156e-05     7 
4.520000220509246e-05     10 
6.890000076964498e-05     12 
7.059999916236848e-05     15 
0.0002080000012938399     20 
0.0002336999968974851     30 
0.0001205000007757917     40 
0.0004870999982813373     50 
0.0005413999970187433     70 
0.0007053000008454546     100 
0.0009744999988470227     150 
0.0012138000020058826     200 
0.002229900001111673     300 
0.004511800001637312     500 
0.007963499996549217     750 
0.010581999998976244     1000 
0.02168100000199047     1800 
0.022889800002303673     2500 
0.03932830000121612     4000 
0.035386299998208415     2 
5.2600000344682485e-05     3 
3.470000228844583e-05     5 
4.280000212020241e-05     7 
4.389999958220869e-05     10 
4.950000220560469e-05     12 
5.7999997807201e-05     15 
0.0002043999993475154     20 
0.00024510000002919696     30 
0.00033209999673999846     40 
0.0004670999987865798     50 
0.0005567000007431488     70 
0.0007346999991568737     100 
0.0009718000001157634     150 
0.0012753000009979587     200 
0.0023795000015525147     300 
0.004271499998139916     500 
0.009270399998058565     750 
0.010856599998078309     1000 
0.021863699999812525     1800 
0.018524300001445226     2500 
0.02815790000022389     4000 
0.036823400001594564     2 
4.239999907440506e-05     3 
3.2500000088475645e-05     5 
3.650000144261867e-05     7 
4.270000135875307e-05     10 
4.890000127488747e-05     12 
5.700000110664405e-05     15 
6.760000178474002e-05     20 
8.820000221021473e-05     30 
0.00010459999975864775     40 
0.0002863000008801464     50 
0.00038830000266898423     70 
0.0007109999969543424     100 
0.0010115000004589092     150 
0.0014841999982309062     200 
0.0029042999994999263     300 
0.0043704999989131466     500 
0.008152400001563365     750 
0.011581499999010703     1000 
0.01929060000111349     1800 
0.01824819999819738     2500 
0.026395499997306615     4000 
0.0253727000017534     2 
4.5000000682193786e-05     3 
3.7000001611886546e-05     5 
5.810000220662914e-05     7 
4.3300002289470285e-05     10 
6.219999704626389e-05     12 
0.00018989999807672575     15 
0.00019559999782359228     20 
0.0002159000032406766     30 
0.0002396000018052291     40 
0.00043060000098193996     50 
0.0005285000006551854     70 
0.0006809000005887356     100 
0.000796799999079667     150 
0.0012454999996407423     200 
0.0025700999976834282     300 
0.0043746999981522094     500 
0.00806390000070678     750 
0.011121200001070974     1000 
0.022360200000548502     1800 
0.016839100000652252     2500 
0.025058100000023842     4000 
0.020261400000890717     2 
5.109999983687885e-05     3 
3.7500001781154424e-05     5 
4.9700000090524554e-05     7 
4.9100002797786146e-05     10 
7.00999989931006e-05     12 
0.00021049999850220047     15 
0.000225800002226606     20 
0.00024080000002868474     30 
0.00013019999823882245     40 
0.0002697000018088147     50 
0.00033120000080089085     70 
0.0003887000020768028     100 
0.0004958999998052604     150 
0.0005939000002399553     200 
0.0011642000026768073     300 
0.0017191000006278045     500 
0.006341799999063369     750 
0.00608500000089407     1000 
0.015993699998944066     1800 
0.023613699999259552     2500 
0.02771950000169454     4000 
0.026268600002367748     2 
3.279999873484485e-05     3 
3.469999865046702e-05     5 
4.11000000895001e-05     7 
4.519999856711365e-05     10 
5.330000203684904e-05     12 
7.269999696291052e-05     15 
7.220000043162145e-05     20 
9.499999941908754e-05     30 
0.00011589999849093147     40 
0.00013970000145491213     50 
0.0001903000011225231     70 
0.00026219999926979654     100 
0.00046440000005532056     150 
0.0009204000016325153     200 
0.0010995000011462253     300 
0.00320099999953527     500 
0.007644199999049306     750 
0.00578980000136653     1000 
0.019264800001110416     1800 
0.027605799998127623     2500 
0.02678630000082194     4000 
0.06522450000193203     2 
9.789999967324547e-05     3 
0.00011600000289035961     5 
0.00011850000009872019     7 
0.00014199999714037403     10 
0.0001975999985006638     12 
0.00030789999800617807     15 
0.0002663000013853889     20 
0.0007398000016110018     30 
0.0004718999989563599     40 
0.0011570000024221372     50 
0.0014775999989069533     70 
0.0012734000010823365     100 
0.0017070999965653755     150 
0.004617799997504335     200 
0.00323009999920032     300 
0.005323100001987768     500 
0.012901500002044486     750 
0.021801200000481913     1000 
0.04005220000180998     1800 
0.01658300000053714     2500 
0.029407199999695877     4000 
0.033919800000148825     2 
5.619999865302816e-05     3 
7.280000136233866e-05     5 
5.0400001782691106e-05     7 
5.059999966761097e-05     10 
4.6200002543628216e-05     12 
6.660000144620426e-05     15 
6.180000127642415e-05     20 
8.159999924828298e-05     30 
9.950000094249845e-05     40 
0.00014280000323196873     50 
0.00016179999875021167     70 
0.00023940000028233044     100 
0.00036589999945135787     150 
0.000547200001165038     200 
0.0009444999996048864     300 
0.0034622000021045096     500 
0.006650200000876794     750 
0.006209899998793844     1000 
0.010105099998327205     1800 
0.01841170000261627     2500 
0.039794699998310534     4000 
0.016567999999097083     2 
4.8999998398358e-05     3 
3.499999729683623e-05     5 
3.82999969588127e-05     7 
8.119999984046444e-05     10 
6.169999687699601e-05     12 
6.860000212327577e-05     15 
0.00019099999917671084     20 
0.00021669999841833487     30 
0.00011649999942164868     40 
0.0002578999992692843     50 
0.00029230000291136093     70 
0.00035489999936544336     100 
0.0004604999994626269     150 
0.0007275999996636529     200 
0.001159600000391947     300 
0.003599799998482922     500 
0.007175200000347104     750 
0.01009199999680277     1000 
0.01647680000314722     1800 
0.02067900000110967     2500 
0.10557690000132425     4000 
0.06480070000179694     2 
0.00014170000213198364     3 
0.00016220000179600902     5 
0.0001660999987507239     7 
0.00015499999790336005     10 
0.000320099999953527     12 
0.0003226999979233369     15 
0.00038670000139973126     20 
0.00031120000130613334     30 
0.0003660000002128072     40 
0.0004303999994590413     50 
0.0008259999995061662     70 
0.000770799997553695     100 
0.001206500000989763     150 
0.006752900000719819     200 
0.0033083999987866264     300 
0.011701600000378676     500 
0.011755199997423915     750 
0.03473139999914565     1000 
0.04125190000195289     1800 
0.015948299998854054     2500 
0.037597300000925316     4000 
0.018965599996590754     2 
3.0399998649954796e-05     3 
3.2500000088475645e-05     5 
3.4500000765547156e-05     7 
4.119999721297063e-05     10 
9.490000229561701e-05     12 
7.510000068577938e-05     15 
0.0001604999997653067     20 
0.00010149999798159115     30 
0.00010380000094301067     40 
0.0001250000022992026     50 
0.0002449999992677476     70 
0.0002144999998563435     100 
0.0003391999998711981     150 
0.0005925999976170715     200 
0.0009028000022226479     300 
0.0027376999969419558     500 
0.00775939999948605     750 
0.009502099997916957     1000 
0.016192099999898346     1800 
0.016299399998388253     2500 
0.03770480000093812     4000 
0.03056290000313311     2 
3.690000085043721e-05     3 
3.680000008898787e-05     5 
4.570000237436034e-05     7 
4.70000013592653e-05     10 
