Tiempo de calculo(s)   Tamaño matriz 
0.02088050000020303     2 
6.38999990769662e-05     3 
4.579999949783087e-05     5 
4.049999552080408e-05     7 
4.510000144364312e-05     10 
4.810000245925039e-05     12 
5.4299998737405986e-05     15 
0.00011300000187475234     20 
0.00023160000273492187     30 
0.00024080000002868474     40 
0.0005074000000604428     50 
0.0006506999998237006     70 
0.0007074000022839755     100 
0.0011548999973456375     150 
0.0014603999952669255     200 
0.00225499999942258     300 
0.004255100000591483     500 
0.0068076000025030226     750 
0.007738600004813634     1000 
0.032296299999870826     1800 
0.04611940000177128     2500 
0.0244514000005438     4000 
0.045293700000911485     2 
0.00012589999823831022     3 
0.00010589999874355271     5 
0.00013110000145388767     7 
0.00013919999764766544     10 
0.0001438000035705045     12 
0.0002869000018108636     15 
0.00021449999621836469     20 
0.00027709999994840473     30 
0.00042129999928874895     40 
0.002835100000083912     50 
0.0014032000035513192     70 
0.0018044000025838614     100 
0.0026935000059893355     150 
0.0037714000063715503     200 
0.0054135000027599744     300 
0.011417199995776173     500 
0.017980699994950555     750 
0.027290500001981854     1000 
0.05844219999562483     1800 
0.01615270000183955     2500 
0.02221540000027744     4000 
0.014977799997723196     2 
4.239999543642625e-05     3 
3.0999995942693204e-05     5 
3.510000533424318e-05     7 
3.989999822806567e-05     10 
5.0000002374872565e-05     12 
4.939999780617654e-05     15 
7.580000237794593e-05     20 
9.040000441018492e-05     30 
0.00021879999985685572     40 
0.000414699999964796     50 
0.00048660000175004825     70 
0.0006487999999080785     100 
0.0009875999967334792     150 
0.0014107000024523586     200 
0.0019812999962596223     300 
0.0039407000003848225     500 
0.005960700000287034     750 
0.008588799995777663     1000 
0.01995310000347672     1800 
0.025137899996479973     2500 
0.02715330000501126     4000 
0.012975199999345932     2 
4.3000000005122274e-05     3 
2.9999995604157448e-05     5 
3.399999695830047e-05     7 
3.909999941242859e-05     10 
6.450000364566222e-05     12 
5.360000068321824e-05     15 
6.1399994592648e-05     20 
7.999999797903001e-05     30 
9.88000028883107e-05     40 
0.0004383999985293485     50 
0.0005489000031957403     70 
0.0006699000005028211     100 
0.0009014000024762936     150 
0.0012007999976049177     200 
0.0019520000059856102     300 
0.003921600000467151     500 
0.005954000000201631     750 
0.008702400002221111     1000 
0.03067169999849284     1800 
0.017307699999946635     2500 
0.06720170000335202     4000 
0.013426999998046085     2 
3.7999998312443495e-05     3 
2.3799999326001853e-05     5 
2.6900001103058457e-05     7 
3.35000004270114e-05     10 
3.590000414988026e-05     12 
4.289999924367294e-05     15 
0.00013900000340072438     20 
7.410000398522243e-05     30 
9.1200003225822e-05     40 
0.00022000000171829015     50 
0.0004978999932063743     70 
0.0006233000021893531     100 
0.0008424999978160486     150 
0.001192200004879851     200 
0.0018737999998847954     300 
0.007584300001326483     500 
0.007947699996293522     750 
0.011474700004328042     1000 
0.022716399995260872     1800 
0.01845099999627564     2500 
0.09063840000453638     4000 
0.012732800001685973     2 
4.140000237384811e-05     3 
3.2099997042678297e-05     5 
4.400000034365803e-05     7 
3.740000101970509e-05     10 
4.099999932805076e-05     12 
4.839999746764079e-05     15 
5.77000027988106e-05     20 
7.720000576227903e-05     30 
9.569999383529648e-05     40 
0.0002680000034160912     50 
0.0003501999963191338     70 
0.0004939999998896383     100 
0.0007839000027161092     150 
0.0009627999970689416     200 
0.001665099996898789     300 
0.003441599998041056     500 
0.006134100003691856     750 
0.008096300000033807     1000 
0.022243300001719035     1800 
0.02758140000514686     2500 
0.03406669999822043     4000 
0.04500620000180788     2 
0.00017460000526625663     3 
9.249999857274815e-05     5 
0.0001294999965466559     7 
0.00012209999840706587     10 
0.00013439999747788534     12 
0.0002125000028172508     15 
0.0002629000009619631     20 
0.0005769999988842756     30 
0.00038689999928465113     40 
0.001597900001797825     50 
0.002440500000375323     70 
0.0026796000020112842     100 
0.003651500002888497     150 
0.004355000004579779     200 
0.006906200003868435     300 
0.010276300003170036     500 
0.017751200000930112     750 
0.006803800002671778     1000 
0.018665000003238674     1800 
0.023951499999384396     2500 
0.029451599999447353     4000 
0.03676400000404101     2 
0.00015110000094864517     3 
0.00020049999875482172     5 
0.00021739999647252262     7 
0.0002409999942756258     10 
0.00029129999893484637     12 
0.0003304999991087243     15 
0.0006176000024424866     20 
0.0005885999999009073     30 
0.0006624000016017817     40 
0.002565999995567836     50 
0.0019190000020898879     70 
0.0026885999977821484     100 
0.00354440000228351     150 
0.0052789000037591904     200 
0.005960400005278643     300 
0.01318860000174027     500 
0.023803600000974257     750 
0.026840300000912976     1000 
0.05068549999850802     1800 
0.011805900001490954     2500 
0.0314139999973122     4000 
0.016238800002611242     2 
4.3799998820759356e-05     3 
3.189999551977962e-05     5 
3.429999924264848e-05     7 
3.809999907389283e-05     10 
4.780000017490238e-05     12 
4.939999780617654e-05     15 
6.350000330712646e-05     20 
0.00010370000381954014     30 
0.00010350000229664147     40 
0.0003006999977515079     50 
0.0005902000048081391     70 
0.000720199997886084     100 
0.0010306999975000508     150 
0.0016428000017185695     200 
0.0033321000009891577     300 
0.005131900004926138     500 
0.011123299998871516     750 
0.009515900004771538     1000 
0.021566399998846464     1800 
0.07850450000114506     2500 
0.044826899997133296     4000 
0.015278899998520501     2 
4.2299994674976915e-05     3 
3.100000321865082e-05     5 
3.3399999665562063e-05     7 
3.820000711129978e-05     10 
4.020000051241368e-05     12 
4.5599997974932194e-05     15 
6.149999535409734e-05     20 
8.160000288626179e-05     30 
0.00010280000424245372     40 
0.0004640000042854808     50 
0.0005358999987947755     70 
0.0007003999999142252     100 
0.000920300000871066     150 
0.00114900000335183     200 
0.0017021000021486543     300 
0.004331600001023617     500 
0.007065100006002467     750 
0.009319699995103292     1000 
0.02097969999886118     1800 
0.017113800000515766     2500 
0.08962959999917075     4000 
