Tiempo de calculo(s)   Tamaño matriz 
5.539999983739108e-05     2 
4.08000050811097e-05     3 
3.699999797390774e-05     5 
3.77000033040531e-05     7 
3.7500001781154424e-05     10 
4.230000195093453e-05     12 
5.989999772282317e-05     15 
7.099999493220821e-05     20 
8.009999874047935e-05     30 
9.529999806545675e-05     40 
0.0002690999972401187     50 
0.00045759999920846894     70 
0.0006859999994048849     100 
0.0008063999994192272     150 
0.001233300004969351     200 
0.0018493999959900975     300 
0.0033742000014171936     500 
0.0067049999997834675     750 
0.009775700003956445     1000 
0.016345099997124635     1800 
0.014731999996001832     2500 
0.044001599999319296     4000 
0.025867299998935778     2 
3.9999998989515007e-05     3 
2.8700000257231295e-05     5 
3.440000000409782e-05     7 
4.640000406652689e-05     10 
7.190000178525224e-05     12 
0.0001779000012902543     15 
7.219999679364264e-05     20 
0.00013210000179242343     30 
0.00022929999977350235     40 
0.00041119999514194205     50 
0.0004865000009885989     70 
0.0006304999988060445     100 
0.0008460999961243942     150 
0.0010775999980978668     200 
0.002143999998224899     300 
0.0033744000029400922     500 
0.0071959999986574985     750 
0.009726099997351412     1000 
0.01722680000239052     1800 
0.01647390000289306     2500 
0.02513600000384031     4000 
0.030799499996646773     2 
5.020000389777124e-05     3 
2.939999831141904e-05     5 
3.3299998904112726e-05     7 
3.730000025825575e-05     10 
4.289999924367294e-05     12 
5.059999966761097e-05     15 
5.869999586138874e-05     20 
0.00018909999926108867     30 
0.00016689999756636098     40 
0.00025949999690055847     50 
0.00037819999852217734     70 
0.0005627999998978339     100 
0.000738800001272466     150 
0.0012165000007371418     200 
0.001980300003197044     300 
0.003832000002148561     500 
0.008466700004646555     750 
0.010835599998245016     1000 
0.019848399999318644     1800 
0.06949860000167973     2500 
0.03406679999898188     4000 
0.027251599996816367     2 
3.980000474257395e-05     3 
2.8800001018680632e-05     5 
4.079999780515209e-05     7 
5.270000110613182e-05     10 
4.67000063508749e-05     12 
4.890000127488747e-05     15 
6.100000609876588e-05     20 
8.230000094044954e-05     30 
0.00010010000551119447     40 
0.0002612999960547313     50 
0.00036809999437537044     70 
0.0005909000028623268     100 
0.000745700002880767     150 
0.001177300000563264     200 
0.0019922999999835156     300 
0.0035964999988209456     500 
0.013563199994678143     750 
0.010819100003573112     1000 
0.01976969999668654     1800 
0.06253129999822704     2500 
0.0253729000032763     4000 
0.02812170000106562     2 
5.5900003644637764e-05     3 
5.190000229049474e-05     5 
6.809999467805028e-05     7 
7.14999987394549e-05     10 
5.830000009154901e-05     12 
0.00018599999748403206     15 
7.609999738633633e-05     20 
0.00017559999832883477     30 
0.00023190000501926988     40 
0.00043870000081369653     50 
0.0005228999943938106     70 
0.0007055000023683533     100 
0.0009831999996094964     150 
0.0013914000010117888     200 
0.00296840000373777     300 
0.004225399999995716     500 
0.013676199996552896     750 
0.011006299995642621     1000 
0.020992400000977796     1800 
0.022318900002574082     2500 
0.03372530000342522     4000 
0.022466099995654076     2 
4.02999939979054e-05     3 
2.849999873433262e-05     5 
7.31999971321784e-05     7 
3.9900005504023284e-05     10 
4.350000381236896e-05     12 
5.020000389777124e-05     15 
0.0001579000017954968     20 
0.0002330999996047467     30 
0.00022050000552553684     40 
0.000407600004109554     50 
0.0005090999984531663     70 
0.0006270999947446398     100 
0.000985699996817857     150 
0.0013442999988910742     200 
0.0022742000001017004     300 
0.0030177000007824972     500 
0.007949899998493493     750 
0.00970709999819519     1000 
0.019132699999317992     1800 
0.02403960000083316     2500 
0.034215200001199264     4000 
0.03231460000097286     2 
4.350000381236896e-05     3 
3.3899996196851134e-05     5 
3.970000398112461e-05     7 
4.079999780515209e-05     10 
5.080000119050965e-05     12 
5.310000415192917e-05     15 
6.289999873843044e-05     20 
9.129999671131372e-05     30 
0.00010399999882793054     40 
0.0002758000046014786     50 
0.00036839999665971845     70 
0.0005167999988771044     100 
0.0007687000033911318     150 
0.001189800001156982     200 
0.0022437000006902963     300 
0.004004499998700339     500 
0.008304999995743856     750 
0.011091300002590287     1000 
0.021291800003382377     1800 
0.01723859999765409     2500 
0.03382119999878341     4000 
0.022158599997055717     2 
4.11000000895001e-05     3 
2.6100002287421376e-05     5 
2.939999831141904e-05     7 
3.429999924264848e-05     10 
4.4200001866556704e-05     12 
5.0000002374872565e-05     15 
6.78000069456175e-05     20 
7.750000077066943e-05     30 
9.429999772692099e-05     40 
0.00043230000301264226     50 
0.0006529000020236708     70 
0.0007158000007621013     100 
0.0009539000020595267     150 
0.0014245999991544522     200 
0.003011300002981443     300 
0.004739399999380112     500 
0.013567199996032286     750 
0.012640900000405964     1000 
0.022263400001975242     1800 
0.06282470000587637     2500 
0.026412300001538824     4000 
0.027499699994223192     2 
6.340000254567713e-05     3 
7.049999840091914e-05     5 
6.27999979769811e-05     7 
6.269999721553177e-05     10 
0.00012069999502273276     12 
0.00022560000070370734     15 
8.379999781027436e-05     20 
0.00010599999950500205     30 
0.00012450000212993473     40 
0.000534999999217689     50 
0.000647900000330992     70 
0.0008454999988316558     100 
0.0011603999955696054     150 
0.0014979999978095293     200 
0.0026515999998082407     300 
0.00562309999804711     500 
0.009454599996388424     750 
0.012101699998311233     1000 
0.021169200001168065     1800 
0.05554470000060974     2500 
0.029733300005318597     4000 
0.03468740000243997     2 
4.180000541964546e-05     3 
2.750000567175448e-05     5 
6.10999995842576e-05     7 
3.790000482695177e-05     10 
0.00019700000120792538     12 
0.00015640000492567196     15 
6.169999687699601e-05     20 
8.169999637175351e-05     30 
0.00010100000508828089     40 
0.0004388999950606376     50 
0.000523900002008304     70 
0.0006123000057414174     100 
0.0015698999995947815     150 
0.004088699999556411     200 
0.008490699998219498     300 
0.014414099998248275     500 
0.026281400001607835     750 
0.04914360000111628     1000 
0.07782429999497253     1800 
0.031011400002171285     2500 
0.0891016999958083     4000 
