Tiempo de calculo(s)   Tamaño matriz 
0.02168530000199098     2 
7.129999721655622e-05     3 
7.46000005165115e-05     5 
7.090000144671649e-05     7 
8.97999998414889e-05     10 
0.00010080000356538221     12 
0.00011330000415910035     15 
0.0001494999960414134     20 
0.00022870000248076394     30 
0.0002747000035014935     40 
0.00035179999395040795     50 
0.00045230000250739977     70 
0.0006752999979653396     100 
0.000978900003246963     150 
0.0013516000035451725     200 
0.0020204999964335     300 
0.004626499998266809     500 
0.007657200003450271     750 
0.008885299997928087     1000 
0.06681079999543726     1800 
0.015765099997224752     2500 
0.11768519999895943     4000 
0.015348399996582884     2 
7.380000170087442e-05     3 
0.00010620000102790073     5 
9.62999984039925e-05     7 
0.00010789999942062423     10 
0.00012119999882997945     12 
0.00014689999807160348     15 
0.00020539999968605116     20 
0.0002556000035838224     30 
0.00030220000189729035     40 
0.0006051000018487684     50 
0.0007260000056703575     70 
0.0010026000018115155     100 
0.0012932999961776659     150 
0.001564199999847915     200 
0.002090399997541681     300 
0.003957799999625422     500 
0.006693200004519895     750 
0.01953499999945052     1000 
0.09437189999880502     1800 
0.03124050000042189     2500 
0.055966100000659935     4000 
0.01561020000372082     2 
8.100000559352338e-05     3 
4.9200003559235483e-05     5 
5.1899995014537126e-05     7 
5.619999865302816e-05     10 
0.00010929999552899972     12 
0.0001466999965487048     15 
0.00016400000458816066     20 
0.000250899996899534     30 
0.0003099000023212284     40 
0.00038550000317627564     50 
0.00023549999605165794     70 
0.00032610000198474154     100 
0.00044830000115325674     150 
0.0014085000002523884     200 
0.0013785999981337227     300 
0.0021176000009290874     500 
0.005275800001982134     750 
0.008077200000116136     1000 
0.018309700004465412     1800 
0.01758299999346491     2500 
0.0253727000017534     4000 
0.016127999995660502     2 
6.81000019540079e-05     3 
4.069999704370275e-05     5 
4.219999391352758e-05     7 
4.659999831346795e-05     10 
5.1399998483248055e-05     12 
5.830000009154901e-05     15 
8.579999848734587e-05     20 
0.0001081000009435229     30 
0.00012989999959245324     40 
0.0001503000021330081     50 
0.0003347999954712577     70 
0.0004048000046168454     100 
0.0005034999994677491     150 
