Tiempo de calculo(s)   Tamaño matriz 
0.0547800999993342     2 
0.00013480000052368268     3 
0.0001066999975591898     5 
0.00013789999502478167     7 
0.00014709999959450215     10 
0.0004016999955638312     12 
0.00017579999985173345     15 
0.0003119000029982999     20 
0.0002921999985119328     30 
0.0004160000025876798     40 
0.0013839000021107495     50 
0.002141100005246699     70 
0.0028359999996609986     100 
0.003790100003243424     150 
0.003924099997675512     200 
0.008821299998089671     300 
0.008899400003429037     500 
0.020509200003289152     750 
0.0047231999997165985     1000 
0.010857599998416845     1800 
0.04954420000285609     2500 
0.062958599999547     4000 
0.1101669000054244     2 
0.0001109000004362315     3 
0.00012070000229869038     5 
0.0001253000009455718     7 
0.00013190000026952475     10 
0.0002199000009568408     12 
0.0002429999949526973     15 
0.00047479999921051785     20 
0.0010806999998749234     30 
0.0007036000024527311     40 
0.0012031000005663373     50 
0.0011503999994602054     70 
0.0013139000002411194     100 
0.002470699997502379     150 
0.0018963999973493628     200 
0.006100699996750336     300 
0.005507399997441098     500 
0.017193400002724957     750 
0.006336599995847791     1000 
0.012723299994831905     1800 
0.057352000003447756     2500 
0.03860990000248421     4000 
0.06039330000203336     2 
0.00011349999840604141     3 
9.929999941959977e-05     5 
0.00010599999950500205     7 
0.0001171000039903447     10 
0.0001511999944341369     12 
0.0001640999980736524     15 
0.0002767999976640567     20 
0.0002767999976640567     30 
0.0003527999942889437     40 
0.0007390000027953647     50 
0.0010529999999562278     70 
0.0012318000008235686     100 
0.0015765999996801838     150 
0.0018850999986170791     200 
0.003282400000898633     300 
0.005498400001670234     500 
0.033416700003726874     750 
0.005012499997974373     1000 
0.012325299998337869     1800 
0.05047220000415109     2500 
0.0312017999967793     4000 
0.11047830000461545     2 
0.00011680000170599669     3 
0.00012129999959142879     5 
0.00012489999789977446     7 
0.00014039999950909987     10 
0.00030839999817544594     12 
0.0005471999975270592     15 
0.00025159999495372176     20 
0.0008852000028127804     30 
0.0013648000021930784     40 
0.0013739999994868413     50 
0.003171600001223851     70 
0.0032614999945508316     100 
0.001579299998411443     150 
0.0020321999982115813     200 
0.0030914000017219223     300 
0.00552159999642754     500 
0.01592529999470571     750 
0.005960099995718338     1000 
0.013980600000650156     1800 
0.04834909999772208     2500 
0.03454970000166213     4000 
0.07469739999942249     2 
5.320000491337851e-05     3 
4.339999577496201e-05     5 
4.9299997044727206e-05     7 
6.140000186860561e-05     10 
6.880000000819564e-05     12 
8.099999831756577e-05     15 
9.850000060396269e-05     20 
0.00013480000052368268     30 
0.00017130000196630135     40 
0.00021289999858709052     50 
0.0002927999958046712     70 
0.00040050000097835436     100 
0.0006085999993956648     150 
0.0008569999990868382     200 
0.0010180000026593916     300 
0.001965900002687704     500 
0.00409139999828767     750 
0.013310000002093147     1000 
0.012993000003916677     1800 
0.0742577999990317     2500 
0.03601839999464573     4000 
0.013016299999435432     2 
4.650000482797623e-05     3 
3.669999568955973e-05     5 
4.180000541964546e-05     7 
4.780000017490238e-05     10 
5.490000330610201e-05     12 
6.22000006842427e-05     15 
7.380000170087442e-05     20 
0.00010590000601951033     30 
0.0003507999936118722     40 
0.0005008000007364899     50 
0.0006489999941550195     70 
0.0010313000020687468     100 
0.0007132999962777831     150 
0.0008413000032305717     200 
0.0012974999990547076     300 
0.0022362999952747487     500 
0.006205500001669861     750 
0.008023300004424527     1000 
0.03266010000515962     1800 
0.021948199995676987     2500 
0.045968700003868435     4000 
0.02341359999991255     2 
5.1700000767596066e-05     3 
4.5900000259280205e-05     5 
5.420000525191426e-05     7 
5.5800002883188426e-05     10 
0.0001277999981539324     12 
0.00014560000272467732     15 
0.00018339999951422215     20 
0.00013929999840911478     30 
0.00016480000340379775     40 
0.0003690000012284145     50 
0.00042019999818876386     70 
0.0005108999976073392     100 
0.0006666000044788234     150 
0.0008357000042451546     200 
0.0014436999990721233     300 
0.002320500003406778     500 
0.004551400001219008     750 
0.013109400002576876     1000 
0.030252500000642613     1800 
0.020740499996463768     2500 
0.037914300002739765     4000 
0.016502300000865944     2 
5.040000542066991e-05     3 
4.44999968749471e-05     5 
4.8800000513438135e-05     7 
5.619999865302816e-05     10 
7.980000373208895e-05     12 
8.850000449456275e-05     15 
0.00010170000314246863     20 
0.00012959999730810523     30 
0.0003071000028285198     40 
0.00034589999995660037     50 
0.00040770000487100333     70 
0.0004788000005646609     100 
0.0006396999960998073     150 
0.0007913000008556992     200 
0.0013442000054055825     300 
0.002352800001972355     500 
0.012088700001186226     750 
0.01562670000566868     1000 
0.07322629999544006     1800 
0.031197399999655318     2500 
0.04116640000574989     4000 
0.030469099998299498     2 
5.709999823011458e-05     3 
4.5400003727991134e-05     5 
5.1700000767596066e-05     7 
5.94000011915341e-05     10 
6.98000003467314e-05     12 
7.90999984019436e-05     15 
0.00010140000085812062     20 
0.00011729999823728576     30 
0.00014830000145593658     40 
0.00017830000433605164     50 
0.00024159999884432182     70 
0.00031850000232225284     100 
0.0005020000025979243     150 
0.0006862999944132753     200 
0.0010996000055456534     300 
0.0019459000031929463     500 
0.004436099996382836     750 
0.04277839999849675     1000 
0.052951999998185784     1800 
0.020869899999524932     2500 
0.040960799997264985     4000 
0.04765179999958491     2 
5.729999975301325e-05     3 
4.510000144364312e-05     5 
4.919999628327787e-05     7 
5.740000051446259e-05     10 
6.589999975403771e-05     12 
7.539999933214858e-05     15 
0.00012489999789977446     20 
0.00012590000551426783     30 
0.00015329999587265775     40 
0.00018819999968400225     50 
0.00023260000307345763     70 
0.000316400000883732     100 
0.0005946000019321218     150 
0.0006811999992351048     200 
0.0010585000054561533     300 
0.0021084000036353245     500 
0.005452799996419344     750 
0.006886100003612228     1000 
0.03023830000165617     1800 
0.020085500000277534     2500 
0.034575600002426654     4000 
