Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
0.023520999999163905   0.008709499998076353   2 
8.759999764151871e-05   4.529999932856299e-05   3 
0.00012549999883049168   0.0014767000029678456   5 
0.00023210000290418975   6.27999979769811e-05   7 
0.00023809999765944667   4.0199996874434873e-05   10 
0.00023290000171982683   5.609999789157882e-05   12 
0.0003533000017341692   0.00010409999958937988   15 
0.0004555000014079269   0.0004165999998804182   20 
0.0004952000017510727   0.0013662000019394327   30 
0.0008535000015399419   0.0003172999968228396   40 
0.0011589999994612299   0.0002519000008760486   50 
0.001331300001766067   0.0004891999997198582   70 
0.0023467999999411404   0.0010796999995363876   100 
0.002583299999969313   0.002214200001617428   150 
0.004158399999141693   0.004600000000209548   200 
0.005468899998959387   0.009320200002548518   300 
0.009658899998612469   0.09319020000111777   500 
0.020187199999782024   0.09094329999788897   750 
0.027591299996856833   0.2380252000002656   1000 
0.050157199999375734   1.8651337000010244   1800 
0.2949765000012121   3.473748799999157   2500 
0.08385360000102082   15.64233609999792   4000 
0.06614930000068853   0.04240129999743658   2 
7.569999797851779e-05   4.5099997805664316e-05   3 
9.11999995878432e-05   4.099999932805076e-05   5 
0.00010370000018156134   2.9200000426499173e-05   7 
0.00013279999984661117   3.780000042752363e-05   10 
0.0006374000004143454   5.230000169831328e-05   12 
0.0004776999994646758   5.6700002460274845e-05   15 
0.0005227000001468696   5.750000127591193e-05   20 
0.0005874000016774517   0.006276500000240048   30 
0.00047110000014072284   0.00013580000086221844   40 
0.0008369999995920807   0.001095699997677002   50 
0.0009749999990162905   0.00016399999731220305   70 
0.00137660000109463   0.00027090000003227033   100 
0.0023818000008759554   0.000758099999075057   150 
0.004749100000481121   0.0020831000001635402   200 
0.005656499997712672   0.007109800000762334   300 
0.011450200003309874   0.0581380999974499   500 
0.0523786999983713   0.21515220000219415   750 
0.06803469999795198   0.5351424000000407   1000 
0.12109649999911198   1.8883190999986255   1800 
0.06189799999992829   3.6579054999965592   2500 
0.27484480000202893   17.548459000001458   4000 
0.0971748000010848   0.043285800002195174   2 
8.170000000973232e-05   5.249999958323315e-05   3 
7.920000280137174e-05   4.4600001274375245e-05   5 
9.829999908106402e-05   3.4100001357728615e-05   7 
0.0001258000011148397   4.030000127386302e-05   10 
0.0002172999993490521   4.569999873638153e-05   12 
0.00020119999680900946   4.619999890564941e-05   15 
0.0006696999989799224   5.2999999752501026e-05   20 
0.000882399999682093   0.00019520000205375254   30 
0.0009778999992704485   0.00017970000044442713   40 
0.001010100000712555   0.01205150000168942   50 
0.0019922999999835156   0.0018288000028405804   70 
0.0015800000001036096   0.0005544000014197081   100 
0.002381900001637405   0.002205999997386243   150 
0.0033767999993870035   0.003735800000868039   200 
0.00481950000175857   0.011125799999717856   300 
0.010891600002651103   0.026814000000740634   500 
0.01899789999879431   0.09198729999843636   750 
0.025782900000194786   0.20802410000032978   1000 
0.03464529999837396   1.5292661000021326   1800 
0.19494379999741795   3.6006578000014997   2500 
0.11372779999874183   15.384197200000926   4000 
0.08303599999999278   0.048170800000661984   2 
7.94000006862916e-05   4.650000118999742e-05   3 
9.40000027185306e-05   4.239999907440506e-05   5 
0.00013819999730912969   4.289999924367294e-05   7 
0.0001999000014620833   5.0099999498343095e-05   10 
0.00019609999799286015   4.070000068168156e-05   12 
0.0002240999965579249   4.289999924367294e-05   15 
0.0002915999975812156   4.579999949783087e-05   20 
0.0004076000004715752   6.950000170036219e-05   30 
0.0005423000002338085   7.919999916339293e-05   40 
0.000717799997801194   9.399999908055179e-05   50 
0.0010801999997056555   0.0001450000017939601   70 
0.0014469000016106293   0.0003715999991982244   100 
0.0019966999971074983   0.000820400000520749   150 
0.003104499999608379   0.001956399999471614   200 
0.005490899999131216   0.006047700000635814   300 
0.008611799999926006   0.025291300000390038   500 
0.01932669999951031   0.09076869999989867   750 
0.02657550000003539   0.3605946000025142   1000 
0.14854539999942062   2.315739300000132   1800 
0.045666699999856064   3.0460065999977814   2500 
0.26103259999945294   14.866945800000394   4000 
0.20488400000249385   0.06680379999670549   2 
0.0001458000006095972   8.149999848683365e-05   3 
0.00017139999908977188   6.550000034621917e-05   5 
0.0002201000024797395   7.31999971321784e-05   7 
0.0003079000016441569   6.650000068475492e-05   10 
0.0008419000005233102   7.929999992484227e-05   12 
0.0004917000005661976   8.270000034826808e-05   15 
0.0006308000010903925   9.300000237999484e-05   20 
0.0009312000001955312   0.0006371999988914467   30 
0.001976499999727821   0.0006138999997347128   40 
0.0022962000002735294   0.0006027000017638784   50 
0.0027900999994017184   0.001464799999666866   70 
0.00377699999808101   0.0015668000014557038   100 
0.0057670000023790635   0.004732499997771811   150 
0.007740799999737646   0.008365099998627556   200 
0.014603499999793712   0.01929289999679895   300 
0.023619600000529317   0.05897429999822634   500 
0.049944100002903724   0.25408450000031735   750 
0.0675998000006075   0.5005456999970193   1000 
0.11740730000019539   1.4051094999995257   1800 
0.06734309999956167   4.396008399999118   2500 
0.06523749999905704   15.490810499999498   4000 
0.06683500000144704   0.047256199999537785   2 
5.610000152955763e-05   3.65999985660892e-05   3 
