Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
0.009358700000007047   0.009652399999936279   2 
6.029999997281266e-05   0.0008080999999720007   3 
4.269999999451102e-05   0.00013209999997343402   5 
4.179999996267725e-05   0.00012760000004163885   7 
4.94000000799133e-05   0.00022490000003472232   10 
3.890000004957983e-05   0.00021870000000490109   12 
4.219999993892998e-05   0.0002108999999563821   15 
4.0399999988949276e-05   0.0002216999999973268   20 
5.6699999959164415e-05   0.00023989999999685097   30 
0.0003169999999954598   0.0003451999999697364   40 
0.0006859000000076776   0.0008864000000130545   50 
0.0007521999999653417   0.0010201000000051863   70 
0.0005543999999417792   0.0015505999999732012   100 
0.000698499999998603   0.002232999999932872   150 
0.0011487000000443004   0.004121700000041528   200 
0.0027718999999706284   0.006744199999957345   300 
0.006319100000041544   0.025456399999939094   500 
0.022870500000067295   0.08147169999995185   750 
0.03303280000000086   0.1601129000000583   1000 
0.10396900000000642   0.7017081000000189   1800 
0.18659569999999803   1.9184109999999919   2500 
0.010928100000000995   0.01135250000004362   2 
6.270000005770271e-05   0.0001938000000336615   3 
3.049999997983832e-05   0.00011410000001887965   5 
2.949999998236308e-05   0.00011280000001079316   7 
2.960000006169139e-05   0.0001181999999744221   10 
4.009999997833802e-05   0.00011349999999765714   12 
3.839999999399879e-05   0.00011280000001079316   15 
3.870000000461005e-05   0.00030429999992520607   20 
0.00022650000005342008   0.0002952999999479289   30 
0.0003610999999636988   0.0005433999999695516   40 
0.0006888000000344618   0.0008166000000073836   50 
0.0006994999999960783   0.001180200000021614   70 
0.0006847000000789194   0.0016187999999601743   100 
0.0006806999999753316   0.0026017999999794483   150 
0.0012224000000742308   0.0039762000000109765   200 
0.003104200000052515   0.008052599999928134   300 
0.006396399999971436   0.029771199999913733   500 
0.022672599999964405   0.09255220000000008   750 
0.03601240000000416   0.35781919999999445   1000 
0.30193529999996827   2.038355299999921   1800 
0.170227299999965   1.647792099999947   2500 
0.015500199999905817   0.014350700000022698   2 
8.470000000215805e-05   0.0002570999999988999   3 
5.9000000078412995e-05   0.00018690000001697626   5 
6.970000004002941e-05   0.0003534999999601496   7 
4.8199999923781434e-05   0.00033860000007734925   10 
5.8500000022831955e-05   0.0003920000000334767   12 
0.0004645999999866035   0.00042290000010325457   15 
7.909999999355932e-05   0.00039979999996830884   20 
0.00041809999993347446   0.00044879999995828257   30 
0.000596799999925679   0.0007428000000118118   40 
0.0007094999999708307   0.0008792000000994449   50 
0.0007183000000168249   0.001236099999914586   70 
