Tiempo de ensamblaje(s)     Tiempo en calcular(s)     Tamaño matriz 
0.03005699999994249   0.00022810000018580467   2 
6.570000005012844e-05   0.00038580000000365544   3 
6.130000019766157e-05   0.0006953999995857885   5 
4.330000001573353e-05   0.000287800000023708   7 
3.889999970851932e-05   0.00044189999971422367   10 
7.83999998930085e-05   0.0005643999998028448   12 
5.1699999858101364e-05   0.00031079999962457805   15 
4.9900000249181176e-05   0.0002967000000353437   20 
5.1900000016757986e-05   0.000378299999738374   30 
6.220000022949534e-05   0.0003864999998768326   40 
6.399999983841553e-05   0.0003821000000243657   50 
0.00027769999996962724   0.0006364999999277643   70 
0.00033949999988180934   0.0007696000002397341   100 
0.0004488999998102372   0.0012811000001420325   150 
0.000620599999820115   0.0018756999998004176   200 
0.0022818000002189365   0.003046299999823532   300 
0.003995999999915512   0.01046100000030492   500 
0.015819599999758793   0.044274400000176684   750 
0.03208889999996245   0.06965649999983725   1000 
0.08999079999966852   0.30715330000020913   1800 
0.17556340000010096   0.8216228999999657   2500 
0.4729437999999391   4.864917299999888   4000 
0.032955000000129075   0.0006434000001718232   2 
6.930000017746352e-05   0.0001762000001690467   3 
0.00010060000022349413   0.0002615000003061141   5 
6.069999972169171e-05   0.00017170000000987784   7 
5.199999986871262e-05   0.00015239999993355013   10 
4.6999999995023245e-05   0.00013379999973039958   12 
7.580000010420918e-05   0.00019770000017160783   15 
6.029999985912582e-05   0.00018909999971583602   20 
6.60000000607397e-05   0.00020949999998265412   30 
0.00021180000021558953   0.0005588999997598876   40 
7.80000000304426e-05   0.0007528999999522057   50 
0.0006641999998464598   0.0026090999999723863   70 
0.0002303000001120381   0.000628700000106619   100 
0.00020459999996091938   0.0009660999999141495   150 
0.00036339999996926053   0.0010489000001143722   200 
0.0017587999996067083   0.00346769999987373   300 
0.003983200000220677   0.012744399999974121   500 
0.015504599999985658   0.0385894000000917   750 
0.036528200000248034   0.09414340000012089   1000 
0.09191880000025776   0.5143198000000666   1800 
0.2630113000000165   3.3399624999997286   2500 
0.5044118000000708   4.934576900000138   4000 
0.027580200000102195   0.0005694999999832362   2 
5.319999991115765e-05   0.00038159999985509785   3 
4.250000029060175e-05   0.0003796999999394757   5 
4.129999979340937e-05   0.0003867000000354892   7 
4.1900000269379234e-05   0.00048480000032213866   10 
7.00999999025953e-05   0.00048299999980372377   12 
0.00018209999961982248   0.0004764999998769781   15 
7.66999996812956e-05   0.00038640000002487795   20 
9.860000000116997e-05   0.0005252999999356689   30 
0.0004297999998925661   0.0007190000001173757   40 
0.0003274000000601518   0.001518699999905948   50 
0.0005430999999589403   0.0009674000002632965   70 
0.0005556000000979111   0.0010726999998951214   100 
0.0012063999997735664   0.001337100000000646   150 
0.0006108000002313929   0.0012772999998560408   200 
0.0015189000000646047   0.0034688000000642205   300 
0.006086700000196288   0.011578500000268832   500 
0.0173823000000084   0.03572810000014215   750 
0.028060200000254554   0.08225739999988946   1000 
0.09630549999974392   0.36174579999988055   1800 
0.19604359999993903   0.8864869999997609   2500 
1.346451999999772   3.9183054999998603   4000 
0.02245249999987209   0.00022020000005795737   2 
5.899999996472616e-05   0.00013390000003710156   3 
5.239999973127851e-05   0.00014910000027157366   5 
4.7899999572109664e-05   0.00014160000000629225   7 
4.859999990003416e-05   0.0001426999997420353   10 
7.969999978740816e-05   0.00043370000003051246   12 
0.00022009999975125538   0.0006938999999874795   15 
9.589999990566866e-05   0.0006152999999358144   20 
0.00012010000000373111   0.0007556999998996616   30 
0.0005089000001134991   0.0008990999999696214   40 
0.0006121000001257926   0.0008127999999487656   50 
0.0006167000001369161   0.001095300000088173   70 
0.00013080000007903436   0.0004334000000199012   100 
0.00018769999996948172   0.0007088999996085477   150 
0.00037300000030882074   0.0012528000002021145   200 
0.0024811000002955552   0.005161799999768846   300 
0.004364299999906507   0.028112099999816564   500 
0.06115529999988212   0.17418069999985164   750 
0.111240799999905   0.26465779999989536   1000 
0.3086470999996891   1.2265490999998292   1800 
0.43255249999992884   0.7629587000001266   2500 
0.4859151999999085   4.546473200000037   4000 
0.01912220000031084   0.00020809999978155247   2 
5.1900000016757986e-05   0.0001177999997707957   3 
4.239999998389976e-05   0.0001395999997839681   5 
4.3000000005122274e-05   0.00012809999998353305   7 
7.610000011482043e-05   0.0002865000001293083   10 
6.429999984902679e-05   0.00023719999990134966   12 
5.360000022847089e-05   0.00013239999998404528   15 
5.069999997431296e-05   0.00015990000019883155   20 
4.8100000185513636e-05   0.00016390000018873252   30 
6.029999985912582e-05   0.0001988999997593055   40 
0.0002684999999473803   0.0002663999998731015   50 
7.340000001931912e-05   0.0002690999999686028   70 
0.00010840000004463946   0.0003718000002663757   100 
0.00016349999987141928   0.000615500000094471   150 
0.0003391999998711981   0.001305099999626691   200 
0.002241599999706523   0.00379560000010315   300 
0.00569069999983185   0.010409400000298774   500 
0.021029900000030466   0.039428399999906105   750 
0.03119460000016261   0.0821987999997873   1000 
0.0935113000000456   0.36793589999979304   1800 
0.19778249999990294   0.8433545999996568   2500 
1.3034544000001915   3.6273842000000514   4000 
0.020965199999864126   0.000647900000330992   2 
5.989999999655993e-05   0.00031050000006871414   3 
4.6300000121846097e-05   0.00042130000019824365   5 
4.4999999772699084e-05   0.0004162000000178523   7 
4.549999994196696e-05   0.00048100000003614696   10 
7.74000000092201e-05   0.0005590000000665896   12 
0.0002013999996961502   0.0005300000002534944   15 
8.590000015828991e-05   0.0005501000000549539   20 
0.00010689999999158317   0.0004672000000027765   30 
0.00023850000025049667   0.0005925999998908082   40 
0.00042230000008203206   0.000768699999753153   50 
0.000601499999902444   0.0011341999997966923   70 
0.0007947000003696303   0.0015285999998013722   100 
0.0007614000001012755   0.002167399999962072   150 
0.0009109000002354151   0.0025260000002162997   200 
0.0021028999999543885   0.003046000000267668   300 
0.004686199999923701   0.016087200000129087   500 
0.039301199999954406   0.04998459999978877   750 
0.029818900000009307   0.08430490000000646   1000 
0.21301480000010997   1.1691028999998707   1800 
0.5912422000001243   1.2009723000001031   2500 
0.49258800000006886   3.060010300000158   4000 
0.04535100000020975   0.0005820999999741616   2 
0.0001584999999977299   0.0006650999998782936   3 
0.00018520000003263704   0.0004994000000806409   5 
0.00015759999996589613   0.00042030000031445525   7 
0.0001513000001978071   0.00048449999985678005   10 
0.0001695000000836444   0.0004844000000048254   12 
0.0001640999998926418   0.0004725999997390318   15 
0.00020640000002458692   0.0010577000002740533   20 
0.00019040000006498303   0.0011363000003257184   30 
0.0005551999997805979   0.002318199999990611   40 
0.00024709999979677377   0.0015045999998619664   50 
0.000906100000065635   0.0012434000000212109   70 
0.0012356000002000656   0.0025699000002532557   100 
0.001266399999622081   0.004547600000023522   150 
0.0023111999998945976   0.004942199999732111   200 
0.005564600000070641   0.008960199999819451   300 
0.012628800000129559   0.03528890000006868   500 
0.0627214000001004   0.1414401999995789   750 
0.10807990000012069   0.2985760000001392   1000 
0.3106807999997727   1.138879800000268   1800 
0.20132609999973283   0.8280853999999636   2500 
0.5145620000002964   4.772413199999846   4000 
0.019793599999957223   0.0003469000002951361   2 
5.7700000070326496e-05   0.00014069999997445848   3 
4.709999984697788e-05   0.00013409999974101083   5 
4.5700000100623583e-05   0.00013269999999465654   7 
4.549999994196696e-05   0.00013730000000578002   10 
4.709999984697788e-05   0.00013579999995272374   12 
7.349999987127376e-05   0.00021020000031057862   15 
7.040000036795391e-05   0.00020470000026762136   20 
5.86999999541149e-05   0.00018870000030801748   30 
0.000115299999833951   0.00039129999959186534   40 
0.0001173999999082298   0.0004223999999339867   50 
