Tiempo(s)   Memoria(bytes)    Tamaño 
0.029335099999570957   96   2 
8.399999978792039e-05   216   3 
0.00012460000016289996   600   5 
7.999999979801942e-05   1176   7 
8.440000010523363e-05   2400   10 
8.400000024266774e-05   3456   12 
0.000105000000075961   5400   15 
0.0001000999995994789   9600   20 
0.017416899999716406   21600   30 
0.0031057000001055712   38400   40 
0.0009713999997984502   60000   50 
0.0009654000000409724   117600   70 
0.0018617999999150925   240000   100 
0.0028213000000505417   540000   150 
0.005203199999868957   960000   200 
0.028831699999955163   2160000   300 
0.18704489999981888   6000000   500 
0.2824478000002273   13500000   750 
0.48817689999987124   24000000   1000 
4.52689029999965   77760000   1800 
7.310041199999887   150000000   2500 
27.600628499999857   384000000   4000 
0.05024540000022171   96   2 
7.119999963833834e-05   216   3 
6.91000000188069e-05   600   5 
5.8399999943503644e-05   1176   7 
5.850000025020563e-05   2400   10 
5.8600000102160266e-05   3456   12 
0.0001173999999082298   5400   15 
0.00010569999994913815   9600   20 
0.0005836000000272179   21600   30 
0.00032620000001770677   38400   40 
0.0005239000001893146   60000   50 
0.0005246000000624917   117600   70 
0.0009119000001192035   240000   100 
0.002235099999779777   540000   150 
0.004113799999686307   960000   200 
0.017640000000028522   2160000   300 
0.055182000000058906   6000000   500 
0.1615406000000803   13500000   750 
0.3127268999996886   24000000   1000 
2.12096769999971   77760000   1800 
9.493353200000001   150000000   2500 
23.275581899999906   384000000   4000 
0.11218929999995453   96   2 
7.21999999768741e-05   216   3 
7.569999979750719e-05   600   5 
6.459999985963805e-05   1176   7 
7.289999985005124e-05   2400   10 
6.459999985963805e-05   3456   12 
8.419999994657701e-05   5400   15 
0.00013730000000578002   9600   20 
0.0010320999999748892   21600   30 
0.00048230000038529397   38400   40 
0.0005283000000417815   60000   50 
0.0010148999999728403   117600   70 
0.0012308000000302854   240000   100 
0.004505400000198279   540000   150 
0.019682000000102562   960000   200 
0.02876910000031785   2160000   300 
0.09331339999971533   6000000   500 
0.18786290000025474   13500000   750 
0.6683544000002257   24000000   1000 
4.719202400000086   77760000   1800 
6.644171699999788   150000000   2500 
22.21764310000026   384000000   4000 
0.12210379999987708   96   2 
8.449999995718827e-05   216   3 
0.00010019999990618089   600   5 
9.910000017043785e-05   1176   7 
6.949999988137279e-05   2400   10 
6.450000000768341e-05   3456   12 
9.330000011686934e-05   5400   15 
0.00011880000010933145   9600   20 
0.0011619000001701352   21600   30 
0.0005370999997467152   38400   40 
0.00028720000000248547   60000   50 
0.001036600000134058   117600   70 
0.0009778999997251958   240000   100 
0.001748800000314077   540000   150 
0.005918800000017654   960000   200 
0.0210903999995935   2160000   300 
0.05359020000014425   6000000   500 
0.2406344999999419   13500000   750 
0.5400657999998657   24000000   1000 
2.487485099999958   77760000   1800 
5.600850799999989   150000000   2500 
24.09340659999998   384000000   4000 
0.08721190000005663   96   2 
8.24999997348641e-05   216   3 
7.730000015726546e-05   600   5 
6.0600000324484427e-05   1176   7 
8.789999992586672e-05   2400   10 
7.52999999349413e-05   3456   12 
0.0001046000002133951   5400   15 
0.00011320000021441956   9600   20 
0.0005977999999231542   21600   30 
0.0005845000000590517   38400   40 
0.000528900000063004   60000   50 
0.0010244000000056985   117600   70 
0.0014316000001599605   240000   100 
0.0036073999999644   540000   150 
0.01056090000020049   960000   200 
0.014973899999858986   2160000   300 
0.0590039000003344   6000000   500 
0.24037380000027042   13500000   750 
0.48910049999994953   24000000   1000 
2.4260018999998465   77760000   1800 
4.905502500000239   150000000   2500 
25.199407400000382   384000000   4000 
0.08700349999980972   96   2 
7.230000028357608e-05   216   3 
7.099999993442907e-05   600   5 
6.239999993340462e-05   1176   7 
6.089999988034833e-05   2400   10 
5.599999985861359e-05   3456   12 
8.429999979853164e-05   5400   15 
9.870000030787196e-05   9600   20 
0.000527599999713857   21600   30 
0.0005627000000458793   38400   40 
0.000557300000309624   60000   50 
0.0005367999997361039   117600   70 
0.000882499999988795   240000   100 
0.002912200000082521   540000   150 
0.003697699999975157   960000   200 
0.013158799999928306   2160000   300 
0.05875389999982872   6000000   500 
0.24292319999995016   13500000   750 
0.4513652999999067   24000000   1000 
1.8661339000000225   77760000   1800 
5.124787400000059   150000000   2500 
