Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
0.01738130000012461   64   2 
8.260000322479755e-05   144   3 
6.320000102277845e-05   400   5 
5.2999999752501026e-05   784   7 
7.589999950141646e-05   1600   10 
5.210000017541461e-05   2304   12 
6.630000279983506e-05   3600   15 
0.00014010000086273067   6400   20 
0.0001841000012063887   14400   30 
0.0003550000001268927   25600   40 
0.0003293000008852687   40000   50 
0.0005490000003192108   78400   70 
0.0008846999990055338   160000   100 
0.0022825000014563557   360000   150 
0.0043501000000105705   640000   200 
0.008644300000014482   1440000   300 
0.03713950000019395   4000000   500 
0.22739999999976135   9000000   750 
0.29982119999840506   16000000   1000 
1.4031165999986115   51840000   1800 
4.1020090999991226   100000000   2500 
14.604912599999807   256000000   4000 
0.015751200000522658   64   2 
5.369999780668877e-05   144   3 
3.3399999665562063e-05   400   5 
3.070000093430281e-05   784   7 
4.640000042854808e-05   1600   10 
3.860000288113952e-05   2304   12 
5.789999704575166e-05   3600   15 
0.00012659999993047677   6400   20 
0.00017329999900539406   14400   30 
0.0018713999997999053   25600   40 
0.00521169999774429   40000   50 
0.0009535000026517082   78400   70 
0.0007580000019515865   160000   100 
0.0018142000008083414   360000   150 
0.0035643999981402885   640000   200 
0.0059624999994412065   1440000   300 
0.03546989999813377   4000000   500 
0.10741570000027423   9000000   750 
0.22794909999720403   16000000   1000 
0.9255603999990853   51840000   1800 
4.103598800000327   100000000   2500 
13.776306099996873   256000000   4000 
0.040699099998164456   64   2 
0.0001357000001007691   144   3 
0.0001021999996737577   400   5 
8.140000136336312e-05   784   7 
0.0001216000018757768   1600   10 
0.00011230000018258579   2304   12 
0.00013939999917056412   3600   15 
0.000294400000711903   6400   20 
0.0005900999967707321   14400   30 
0.0005376000008254778   25600   40 
0.0019591999989643227   40000   50 
0.001706199996988289   78400   70 
0.002733299999817973   160000   100 
0.006577200001629535   360000   150 
0.011830100000224775   640000   200 
0.031904400002531474   1440000   300 
0.10447520000161603   4000000   500 
0.3858464999975695   9000000   750 
0.5222591999990982   16000000   1000 
0.963850399999501   51840000   1800 
4.341845300001296   100000000   2500 
13.571596699999645   256000000   4000 
0.0817691999982344   64   2 
0.00013920000128564425   144   3 
0.00010599999950500205   400   5 
8.399999933317304e-05   784   7 
0.0001340000017080456   1600   10 
0.00012909999713883735   2304   12 
0.00022440000248025171   3600   15 
0.0004898000006505754   6400   20 
0.0011577999975997955   14400   30 
0.0017821000001276843   25600   40 
0.0011059999997087289   40000   50 
0.0019486000019242056   78400   70 
0.005191899999772431   160000   100 
0.014822599998296937   360000   150 
0.022326400001475122   640000   200 
0.03916640000170446   1440000   300 
0.12271969999710564   4000000   500 
0.39916680000169436   9000000   750 
0.7480833000008715   16000000   1000 
0.9253777999983868   51840000   1800 
4.21772730000157   100000000   2500 
13.289452799999708   256000000   4000 
0.05404800000178511   64   2 
0.00013890000263927504   144   3 
9.449999924981967e-05   400   5 
8.97999998414889e-05   784   7 
0.0001354000014543999   1600   10 
0.0001714000027277507   2304   12 
0.0001717000013741199   3600   15 
0.0003360999980941415   6400   20 
0.0005951999992248602   14400   30 
0.0009339999996882398   25600   40 
0.0008802000011201017   40000   50 
0.0016452999989269301   78400   70 
0.003024199999345001   160000   100 
0.0070634999974572565   360000   150 
0.012174100000265753   640000   200 
0.03293459999986226   1440000   300 
0.11597410000103991   4000000   500 
0.38884390000021085   9000000   750 
0.784309900001972   16000000   1000 
1.3722716999982367   51840000   1800 
4.459126000001561   100000000   2500 
13.528033899998263   256000000   4000 
0.05713050000122166   64   2 
0.0001737000020511914   144   3 
0.00016429999959655106   400   5 
0.00015279999934136868   784   7 
0.00021950000154902227   1600   10 
0.00019740000061574392   2304   12 
0.00032439999995403923   3600   15 
0.0005075000008218922   6400   20 
0.0008440999990853015   14400   30 
0.0038903999993635807   25600   40 
0.001422200002707541   40000   50 
0.0020129000004089903   78400   70 
0.00499639999907231   160000   100 
0.007448699998349184   360000   150 
0.032298900001478614   640000   200 
0.035911399998440174   1440000   300 
0.11071780000202125   4000000   500 
0.3833264999993844   9000000   750 
0.657533899997361   16000000   1000 
1.1887138000020059   51840000   1800 
4.342386299998907   100000000   2500 
12.913469499999337   256000000   4000 
0.03572810000332538   64   2 
0.00014899999951012433   144   3 
0.0001373999984934926   400   5 
0.0001218999968841672   784   7 
0.0001950999976543244   1600   10 
0.000262100002146326   2304   12 
0.0003045999983442016   3600   15 
0.0004470999992918223   6400   20 
0.0005471999975270592   14400   30 
0.0007360000017797574   25600   40 
0.0021926000008534174   40000   50 
0.001109999997424893   78400   70 
0.0025593999998818617   160000   100 
0.009278099998482503   360000   150 
0.013490600002114661   640000   200 
0.04594279999946593   1440000   300 
0.14819039999929373   4000000   500 
0.3729165999975521   9000000   750 
0.578085099998134   16000000   1000 
1.578782399999909   51840000   1800 
3.8565003000003344   100000000   2500 
13.262805000002118   256000000   4000 
0.01631919999999809   64   2 
5.270000110613182e-05   144   3 
3.1200001103570685e-05   400   5 
2.9200000426499173e-05   784   7 
3.9599999581696466e-05   1600   10 
4.329999865149148e-05   2304   12 
4.199999966658652e-05   3600   15 
0.00011550000272109173   6400   20 
0.00015999999959603883   14400   30 
0.00015470000289496966   25600   40 
0.0002701999983401038   40000   50 
0.00045730000056209974   78400   70 
0.0007475999991584104   160000   100 
0.001755499997670995   360000   150 
0.003204699998605065   640000   200 
0.006928900002094451   1440000   300 
0.038698399999702815   4000000   500 
0.2317159999984142   9000000   750 
0.6218456999995396   16000000   1000 
2.1326579000015045   51840000   1800 
2.663766100002249   100000000   2500 
15.115829200000007   256000000   4000 
0.025320799999462906   64   2 
5.450000026030466e-05   144   3 
2.4999997549457476e-05   400   5 
2.3100001271814108e-05   784   7 
6.909999865456484e-05   1600   10 
5.500000042957254e-05   2304   12 
5.199999941396527e-05   3600   15 
0.00014679999731015414   6400   20 
0.00010170000314246863   14400   30 
0.00017039999875123613   25600   40 
0.0002736999995249789   40000   50 
0.0004656999990402255   78400   70 
0.0007423999995808117   160000   100 
0.001744900000630878   360000   150 
0.0034885999994003214   640000   200 
0.008883700000296813   1440000   300 
0.04465700000218931   4000000   500 
0.11365619999924093   9000000   750 
0.21335790000011912   16000000   1000 
1.660879400002159   51840000   1800 
3.687890700002754   100000000   2500 
14.544632100001763   256000000   4000 
0.028444700001273304   64   2 
6.790000043110922e-05   144   3 
3.440000000409782e-05   400   5 
3.279999873484485e-05   784   7 
6.329999814624898e-05   1600   10 
4.949999856762588e-05   2304   12 
5.48999996681232e-05   3600   15 
0.00013000000035390258   6400   20 
0.00018959999943035655   14400   30 
0.00018289999934495427   25600   40 
0.0003336000008857809   40000   50 
0.0004355000019131694   78400   70 
0.0008373999989998993   160000   100 
0.002316699999937555   360000   150 
0.005208999999013031   640000   200 
0.012957900002220413   1440000   300 
0.043631600001390325   4000000   500 
0.11895630000071833   9000000   750 
0.2280256999983976   16000000   1000 
1.5415823000003002   51840000   1800 
