Tiempo en inversión(s)   Memoria(bytes)    Tamaño 
0.0044487000013759825   32   2 
7.670000195503235e-05   72   3 
4.0099999750964344e-05   200   5 
5.189999865251593e-05   392   7 
5.2999999752501026e-05   800   10 
4.269999772077426e-05   1152   12 
5.059999966761097e-05   1800   15 
9.979999958886765e-05   3200   20 
0.0002509000005375128   7200   30 
0.00020429999858606607   12800   40 
0.000423699999373639   20000   50 
0.0007140000016079284   39200   70 
0.0007955000000947621   80000   100 
0.001743299999361625   180000   150 
0.0039557999989483505   320000   200 
0.005735200000344776   720000   300 
0.02475090000007185   2000000   500 
0.0819997999969928   4500000   750 
0.17523330000040005   8000000   1000 
0.8442331999976886   25920000   1800 
2.0587885999993887   50000000   2500 
11.473048100000597   128000000   4000 
0.0145169999996142   32   2 
6.550000034621917e-05   72   3 
3.909999941242859e-05   200   5 
3.82999969588127e-05   392   7 
5.9399997553555295e-05   800   10 
5.149999924469739e-05   1152   12 
6.329999814624898e-05   1800   15 
0.00012819999756175093   3200   20 
0.00010870000187424012   7200   30 
0.00013109999781590886   12800   40 
0.00022960000205785036   20000   50 
0.0002609999974083621   39200   70 
0.00046719999954802915   80000   100 
0.001049100003001513   180000   150 
0.0020800000020244624   320000   200 
0.0066377000002830755   720000   300 
0.020754799999849638   2000000   500 
0.07558989999961341   4500000   750 
0.1797069999993255   8000000   1000 
0.8209577999987232   25920000   1800 
3.644794899999397   50000000   2500 
9.947284600002604   128000000   4000 
0.01166919999741367   32   2 
8.149999848683365e-05   72   3 
5.0900001951958984e-05   200   5 
5.020000025979243e-05   392   7 
6.860000212327577e-05   800   10 
6.269999721553177e-05   1152   12 
8.179999713320285e-05   1800   15 
0.00013839999883202836   3200   20 
0.00021850000121048652   7200   30 
0.00021520000154851004   12800   40 
0.0004684999985329341   20000   50 
0.0007864999970479403   39200   70 
0.000995499998680316   80000   100 
0.0019174000008206349   180000   150 
0.0033875999979500193   320000   200 
0.0070899999991524965   720000   300 
0.027406500001234235   2000000   500 
0.08759019999706652   4500000   750 
0.17910910000136937   8000000   1000 
2.5491124000000127   25920000   1800 
2.340875199999573   50000000   2500 
13.752528000000893   128000000   4000 
0.012922099998831982   32   2 
6.27999979769811e-05   72   3 
6.790000043110922e-05   200   5 
5.859999873791821e-05   392   7 
8.910000178730115e-05   800   10 
8.320000051753595e-05   1152   12 
9.530000170343556e-05   1800   15 
0.00016379999942728318   3200   20 
0.000189200000022538   7200   30 
0.0004676000025938265   12800   40 
0.0005423000002338085   20000   50 
0.0008895999999367632   39200   70 
0.0011008000001311302   80000   100 
0.0020129000004089903   180000   150 
0.0036551000011968426   320000   200 
0.009947799997462425   720000   300 
0.036077700002351776   2000000   500 
0.10767199999827426   4500000   750 
0.2408437000012782   8000000   1000 
0.9517434000008507   25920000   1800 
2.7341733000030217   50000000   2500 
13.155132199997752   128000000   4000 
0.01287890000094194   32   2 
6.509999730042182e-05   72   3 
3.7900001188972965e-05   200   5 
3.6600002204068005e-05   392   7 
7.26000034774188e-05   800   10 
5.210000017541461e-05   1152   12 
5.419999797595665e-05   1800   15 
0.00010259999908157624   3200   20 
0.00019070000053034164   7200   30 
0.0003269000008003786   12800   40 
0.00048320000132662244   20000   50 
0.0006967000008444302   39200   70 
0.0009804000001167879   80000   100 
0.001735900001222035   180000   150 
0.0033622000009927433   320000   200 
0.005938199999945937   720000   300 
0.024374799999350216   2000000   500 
0.07899069999984931   4500000   750 
0.1888582999999926   8000000   1000 
0.9315591000013228   25920000   1800 
4.091718399999081   50000000   2500 
12.736620600000606   128000000   4000 
0.014917500000592554   32   2 
6.569999823113903e-05   72   3 
8.1900001532631e-05   200   5 
7.860000187065452e-05   392   7 
0.00010409999958937988   800   10 
9.890000001178123e-05   1152   12 
0.00010850000035134144   1800   15 
0.00019210000027669594   3200   20 
0.00024980000307550654   7200   30 
0.0005404000003181864   12800   40 
0.0006806999990658369   20000   50 
0.0008835000007820781   39200   70 
0.00248950000241166   80000   100 
0.0056198999991465826   180000   150 
0.0042245999975421   320000   200 
0.011321900001348695   720000   300 
0.10166249999747379   2000000   500 
0.38998350000110804   4500000   750 
0.7838125999987824   8000000   1000 
1.6625015000026906   25920000   1800 
2.3329870000015944   50000000   2500 
13.418967599998723   128000000   4000 
0.012374900001304923   32   2 
6.460000076913275e-05   72   3 
3.9500002458225936e-05   200   5 
3.80000019504223e-05   392   7 
5.819999933009967e-05   800   10 
5.109999983687885e-05   1152   12 
6.049999865354039e-05   1800   15 
0.00012760000026901253   3200   20 
0.0002843000002030749   7200   30 
0.0004380999998829793   12800   40 
0.00031179999859887175   20000   50 
0.0007065999998303596   39200   70 
0.0009871999973256607   80000   100 
0.0014859000002616085   180000   150 
0.002421200002572732   320000   200 
0.007113799998478498   720000   300 
0.02178249999997206   2000000   500 
0.0818905000014638   4500000   750 
0.18758909999814932   8000000   1000 
0.9099482999990869   25920000   1800 
3.990634100002353   50000000   2500 
12.840968799999246   128000000   4000 
0.011703999996825587   32   2 
6.629999916185625e-05   72   3 
3.909999941242859e-05   200   5 
3.6299999919719994e-05   392   7 
5.480000254465267e-05   800   10 
4.709999848273583e-05   1152   12 
8.439999874099158e-05   1800   15 
0.00010959999781334773   3200   20 
0.00010299999848939478   7200   30 
0.00012149999747634865   12800   40 
0.0001568000006955117   20000   50 
0.0002629999980854336   39200   70 
0.00045930000123917125   80000   100 
0.0011129000013170298   180000   150 
0.003722499997820705   320000   200 
0.0070463000010931864   720000   300 
0.03082680000079563   2000000   500 
0.090928099998564   4500000   750 
0.31950270000015735   8000000   1000 
2.594080099999701   25920000   1800 
2.2401076999994984   50000000   2500 
14.220169399999577   128000000   4000 
0.007453800000803312   32   2 
8.989999696495943e-05   72   3 
5.210000017541461e-05   200   5 
3.899999865097925e-05   392   7 
7.420000110869296e-05   800   10 
6.849999772384763e-05   1152   12 
8.060000254772604e-05   1800   15 
0.00016170000162674114   3200   20 
0.0002457999980833847   7200   30 
0.00020059999951627105   12800   40 
0.0005123999981151428   20000   50 
0.0007241000021167565   39200   70 
0.0011333999973430764   80000   100 
0.0022109000019554514   180000   150 
0.003415099999983795   320000   200 
0.008827000001474516   720000   300 
0.03641280000010738   2000000   500 
0.10176229999706266   4500000   750 
0.18970730000000913   8000000   1000 
0.9511738999972295   25920000   1800 
4.133926899998187   50000000   2500 
12.21763170000122   128000000   4000 
0.00815580000198679   32   2 
8.059999890974723e-05   72   3 
5.030000102124177e-05   200   5 
4.770000305143185e-05   392   7 
6.959999882383272e-05   800   10 
6.719999873894267e-05   1152   12 
7.499999992433004e-05   1800   15 
0.00013979999857838266   3200   20 
0.00026199999774689786   7200   30 
0.00022030000036465935   12800   40 
0.00035939999725087546   20000   50 
0.0006608000003325287   39200   70 
0.0010709000016504433   80000   100 
0.002340900002309354   180000   150 
0.003947799999878043   320000   200 
0.008528100002877181   720000   300 
0.03805319999810308   2000000   500 
0.09502309999879799   4500000   750 
0.37946390000070096   8000000   1000 
2.537697100000514   25920000   1800 
2.6514654999991762   50000000   2500 
14.139711799998622   128000000   4000 
