Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
7.91000020399224e-05   32   2 
6.540000322274864e-05   72   3 
5.310000051395036e-05   200   5 
4.020000051241368e-05   392   7 
6.120000034570694e-05   800   10 
4.2400002712383866e-05   1152   12 
7.120000009308569e-05   1800   15 
0.00014730000111740083   3200   20 
0.00021079999714856967   7200   30 
0.0004135999988648109   12800   40 
0.0004850000004807953   20000   50 
0.0010192000008828472   39200   70 
0.0010668000031728297   80000   100 
0.0025151000008918345   180000   150 
0.003905800000211457   320000   200 
0.00706720000016503   720000   300 
0.02154769999833661   2000000   500 
0.07508519999828422   4500000   750 
0.1752111000023433   8000000   1000 
0.7601904999974067   25920000   1800 
2.218325800000457   50000000   2500 
11.446360300000379   128000000   4000 
0.04901099999915459   32   2 
0.00016390000018873252   72   3 
0.00014969999756431207   200   5 
0.00013250000120024197   392   7 
0.0001866000020527281   800   10 
0.00018389999968349002   1152   12 
0.0002586999980849214   1800   15 
0.0004590999997162726   3200   20 
0.0007100000002537854   7200   30 
0.001067900000634836   12800   40 
0.0018357000008109026   20000   50 
0.0025367999987793155   39200   70 
0.003558399999747053   80000   100 
0.01912079999965499   180000   150 
0.012173999999504304   320000   200 
0.03188349999982165   720000   300 
0.1261651000022539   2000000   500 
0.3041992999969807   4500000   750 
0.6204761999979382   8000000   1000 
1.6798096999991685   25920000   1800 
2.259299600002123   50000000   2500 
12.791195600002538   128000000   4000 
0.02771750000101747   32   2 
0.00020450000010896474   72   3 
0.00018769999951473437   200   5 
0.00016870000035851263   392   7 
0.00025159999859170057   800   10 
0.0002333999982511159   1152   12 
0.00026079999952344224   1800   15 
0.00043390000064391643   3200   20 
0.0007368000005953945   7200   30 
0.0007345999983954243   12800   40 
0.0011819999999715947   20000   50 
0.002474400000210153   39200   70 
0.003919899998436449   80000   100 
0.009397699999681208   180000   150 
0.013495600000169361   320000   200 
0.03611109999837936   720000   300 
0.1195238000000245   2000000   500 
0.30712359999961336   4500000   750 
0.5553069000015967   8000000   1000 
0.8932717999996385   25920000   1800 
2.1722389999995357   50000000   2500 
14.335484499999438   128000000   4000 
0.011939700001676101   32   2 
6.569999823113903e-05   72   3 
3.769999966607429e-05   200   5 
6.289999873843044e-05   392   7 
