Tiempo en inversión(s)      Memoria(bytes)       Tamaño matriz 
0.02385109999886481   24   2 
0.0002184999975725077   54   3 
0.0001359999987471383   150   5 
0.00014490000103251077   294   7 
0.00032439999995403923   600   10 
0.0003308000013930723   864   12 
0.000305800000205636   1350   15 
0.0003167999966535717   2400   20 
0.00026810000053956173   5400   30 
0.000465600001916755   9600   40 
0.0008285999974759761   15000   50 
0.001041599996824516   29400   70 
0.001244600000063656   60000   100 
0.002090399997541681   135000   150 
0.0030490999997709878   240000   200 
0.006386700002622092   540000   300 
0.019096100000751903   1500000   500 
0.04927440000028582   3375000   750 
0.0907705999998143   6000000   1000 
0.48458640000171727   19440000   1800 
1.04870099999971   37500000   2500 
5.056055999997625   96000000   4000 
0.015521400000579888   24   2 
0.0003007000013894867   54   3 
0.00019099999917671084   150   5 
0.00013639999815495685   294   7 
0.0004411000008985866   600   10 
0.00048320000132662244   864   12 
0.0004952999988745432   1350   15 
0.0006333999990602024   2400   20 
0.001014100002066698   5400   30 
0.0007224000000860542   9600   40 
0.0008954999975685496   15000   50 
0.0014685000023746397   29400   70 
0.0017076999974960927   60000   100 
0.002018600000155857   135000   150 
0.0032563000022491906   240000   200 
0.007450699999026256   540000   300 
0.024124900002789218   1500000   500 
0.06298640000022715   3375000   750 
0.11543659999733791   6000000   1000 
0.5035634000014397   19440000   1800 
2.2267726000027324   37500000   2500 
6.1369485999966855   96000000   4000 
0.015377499999885913   24   2 
0.0002105999992636498   54   3 
0.00013630000103148632   150   5 
0.0002606999987619929   294   7 
0.00028559999918797985   600   10 
0.0002935999982582871   864   12 
0.0002922000021499116   1350   15 
0.0005334999987098854   2400   20 
0.0003804000007221475   5400   30 
0.0006677999990643002   9600   40 
0.0007845000000088476   15000   50 
0.0011383000019122846   29400   70 
0.0016786000014690217   60000   100 
0.002127299998392118   135000   150 
0.003358599999046419   240000   200 
0.007391700000880519   540000   300 
0.06671130000177072   1500000   500 
0.060609399999520974   3375000   750 
0.11343209999904502   6000000   1000 
0.5099064000023645   19440000   1800 
1.1213260999975319   37500000   2500 
5.282931699999608   96000000   4000 
0.01824000000124215   24   2 
0.0003996999985247385   54   3 
0.00031369999851449393   150   5 
0.0003149999974993989   294   7 
0.0003175999991071876   600   10 
0.00031830000079935417   864   12 
0.0003147000024910085   1350   15 
0.0003453999997873325   2400   20 
0.0004945000000589062   5400   30 
0.0007308000022021588   9600   40 
0.0009742000002006534   15000   50 
0.0012112000003980938   29400   70 
0.0013087000006635208   60000   100 
0.002116899999236921   135000   150 
0.003108500000962522   240000   200 
0.0063735000003362074   540000   300 
0.021294300000590738   1500000   500 
0.06450750000294647   3375000   750 
0.12136029999965103   6000000   1000 
1.2395274999980757   19440000   1800 
2.385790600001201   37500000   2500 
5.293077599999378   96000000   4000 
0.01600450000114506   24   2 
0.00024090000079013407   54   3 
0.00033430000257794745   150   5 
0.0003113999991910532   294   7 
0.0003219999998691492   600   10 
0.0002982000005431473   864   12 
0.0006119999998190906   1350   15 
0.0005950000013399404   2400   20 
0.0005309000007400755   5400   30 
0.0007636999980604742   9600   40 
0.0008847000026435126   15000   50 
0.0012864000018453225   29400   70 
0.0016529999993508682   60000   100 
0.002260299999761628   135000   150 
0.003325999998196494   240000   200 
0.008103800002572825   540000   300 
0.024802600000839448   1500000   500 
0.0670548999987659   3375000   750 
0.12600269999893499   6000000   1000 
0.5280779000022449   19440000   1800 
1.9987285999995947   37500000   2500 
5.755385200001911   96000000   4000 
0.051269999999931315   24   2 
0.000840499997138977   54   3 
0.0005601000011665747   150   5 
0.0005407999997260049   294   7 
0.0005483999993884936   600   10 
0.0005096999993838836   864   12 
0.00045590000081574544   1350   15 
0.0010733000017353334   2400   20 
0.001125899998442037   5400   30 
0.0011957000024267472   9600   40 
0.0017555000013089739   15000   50 
0.0028552999974635895   29400   70 
0.009030100001837127   60000   100 
0.009568199999193894   135000   150 
0.01060209999923245   240000   200 
0.023477399998228066   540000   300 
0.0691423999996914   1500000   500 
0.06270840000070166   3375000   750 
0.09195110000291606   6000000   1000 
0.5115941000003659   19440000   1800 
1.1644068999994488   37500000   2500 
6.611382900002354   96000000   4000 
0.03165639999861014   24   2 
0.0006493000000773463   54   3 
0.0008183999998436775   150   5 
0.0020780999984708615   294   7 
0.0010742000013124198   600   10 
0.0010541999981796835   864   12 
0.0010633999991114251   1350   15 
0.0011416999986977316   2400   20 
0.001748599999700673   5400   30 
0.0031479000026592985   9600   40 
0.0034029999987978954   15000   50 
0.003998200001660734   29400   70 
0.00479300000006333   60000   100 
0.006974399999307934   135000   150 
0.009792700002435595   240000   200 
0.02351529999941704   540000   300 
0.06807140000091749   1500000   500 
0.27625129999796627   3375000   750 
0.5330456000010599   6000000   1000 
0.9682933000003686   19440000   1800 
1.3922711000013805   37500000   2500 
6.3195673000009265   96000000   4000 
0.03099619999920833   24   2 
0.0008769000014581252   54   3 
0.0005290999979479238   150   5 
